SKU,Název,Značka,Řada,Generace,Kategorie,Jednotka,Min € bez DPH,Nejlevnější shop,Δ % vs. minulý běh,Δ % vs. 30d min,Dostupnost (min),bike-components.de,bike-discount.de,rosebikes.de,starbike.com,mantel.com,koloshop.cz,hupnakolo.cz,kupkolo.cz
SH-105-STBR,ST-R7170 + BR-R7170 Di2 hydraulické páky + třmeny (pár),Shimano,105 Di2,R7100,Páky + třmeny (pár),pár,157.15,kupkolo.cz,-0.2,153.2,skladem,251.26,369.74,,159.58,,,184.47,157.15
SH-105-RD,RD-R7150 Di2 12s,Shimano,105 Di2,R7100,Přehazovačka,ks,126.04,bike-components.de,0.0,15085.5,skladem,126.04,142.85,134.41,,,,127.94,136.61
SH-105-FD,FD-R7150 Di2,Shimano,105 Di2,R7100,Přesmykač,ks,54.61,bike-components.de,0.0,49.4,vyprodáno,54.61,84.03,71.39,94.03,,,,88.67
SH-105-FC,FC-R7100 kliky 2x12 (50-34),Shimano,105 Di2,R7100,Kliky,ks,60.46,rosebikes.de,0.0,35.1,vyprodáno,87.39,99.15,60.46,115.04,119.79,,91.24,95.52
SH-105-CS,CS-R7100 12s (11-34),Shimano,105 Di2,R7100,Kazeta,ks,41.97,rosebikes.de,0.0,0.0,vyprodáno,,,41.97,,,,,
SH-105-CS2,CS-HG710-12 12s (levnější alternativa),Shimano,105 Di2,R7100,Kazeta,ks,47.04,hupnakolo.cz,-0.2,-0.1,?,52.09,49.57,,,,,47.04,
SH-105-CN,CN-M7100 řetěz 12s,Shimano,105 Di2,R7100,Řetěz,ks,14.69,hupnakolo.cz,-0.1,145.7,?,18.48,15.96,18.45,15.38,21.45,,14.69,
SH-105-SET,Shimano 105 Di2 R7100 kompletní sada 2x12 disc,Shimano,105 Di2,R7100,Kompletní sada,sada,671.43,bike-discount.de,0.0,299.6,skladem,839.5,671.43,,941.93,767.77,,,
SH-ULT-STBR,ST-R8170 + BR-R8170 Di2 hydraulické páky + třmeny (pár),Shimano,Ultegra Di2,R8100,Páky + třmeny (pár),pár,234.41,rosebikes.de,0.0,0.0,skladem,427.73,486.55,234.41,310.0,288.43,,239.25,239.32
SH-ULT-RD,RD-R8150 Di2 12s,Shimano,Ultegra Di2,R8100,Přehazovačka,ks,1.25,bike-components.de,0.0,0.0,skladem,1.25,214.28,214.24,281.43,,,,307.79
